risk_budget,method,seed,tasks,success,fixed_risk_success,collision,dynamic_violation,risk_proxy,mode_escape
0.02,diffusion_cem_hybrid,7,8,1.00000,1.00000,0.00000,0.00000,0.00309,1.00000
0.02,cem_trajectory_optimizer,0,8,1.00000,1.00000,0.00000,0.00000,0.00332,1.00000
0.02,cem_trajectory_optimizer,1,8,1.00000,1.00000,0.00000,0.00000,0.00325,1.00000
0.02,cem_trajectory_optimizer,2,8,1.00000,1.00000,0.00000,0.00000,0.00332,1.00000
0.02,cem_trajectory_optimizer,3,8,1.00000,1.00000,0.00000,0.00000,0.00322,1.00000
0.02,cem_trajectory_optimizer,4,8,1.00000,1.00000,0.00000,0.00000,0.00327,1.00000
0.02,cem_trajectory_optimizer,5,8,1.00000,1.00000,0.00000,0.00000,0.00333,1.00000
0.02,cem_trajectory_optimizer,6,8,1.00000,1.00000,0.00000,0.00000,0.00328,1.00000
0.02,cem_trajectory_optimizer,7,8,1.00000,1.00000,0.00000,0.00000,0.00335,1.00000
0.02,support_aware_energy_bridge_v5,0,8,1.00000,1.00000,0.00000,0.00000,0.00317,1.00000
0.02,support_aware_energy_bridge_v5,1,8,1.00000,1.00000,0.00000,0.00000,0.00315,1.00000
0.02,support_aware_energy_bridge_v5,2,8,1.00000,1.00000,0.00000,0.00000,0.00315,1.00000
0.02,support_aware_energy_bridge_v5,3,8,1.00000,1.00000,0.00000,0.00000,0.00310,1.00000
0.02,support_aware_energy_bridge_v5,4,8,1.00000,1.00000,0.00000,0.00000,0.00311,1.00000
0.02,support_aware_energy_bridge_v5,5,8,1.00000,1.00000,0.00000,0.00000,0.00315,1.00000
0.02,support_aware_energy_bridge_v5,6,8,1.00000,1.00000,0.00000,0.00000,0.00312,1.00000
0.02,support_aware_energy_bridge_v5,7,8,1.00000,1.00000,0.00000,0.00000,0.00318,1.00000
0.05,energy_rerank_unguided,0,8,0.00000,0.00000,1.00000,0.00000,1.00000,0.00000
0.05,energy_rerank_unguided,1,8,0.00000,0.00000,1.00000,0.00000,1.00000,0.00000
0.05,energy_rerank_unguided,2,8,0.00000,0.00000,1.00000,0.00000,1.00000,0.00000
0.05,energy_rerank_unguided,3,8,0.00000,0.00000,1.00000,0.00000,1.00000,0.00000
0.05,energy_rerank_unguided,4,8,0.00000,0.00000,1.00000,0.00000,1.00000,0.00000
0.05,energy_rerank_unguided,5,8,0.00000,0.00000,1.00000,0.00000,1.00000,0.00000
0.05,energy_rerank_unguided,6,8,0.00000,0.00000,1.00000,0.00000,1.00000,0.00000
0.05,energy_rerank_unguided,7,8,0.00000,0.00000,1.00000,0.00000,1.00000,0.00000
0.05,energy_guided_diffusion,0,8,0.00000,0.00000,1.00000,1.00000,1.00020,0.00000
0.05,energy_guided_diffusion,1,8,0.00000,0.00000,1.00000,1.00000,1.00000,0.00000
0.05,energy_guided_diffusion,2,8,0.00000,0.00000,1.00000,1.00000,1.00000,0.00000
0.05,energy_guided_diffusion,3,8,0.00000,0.00000,1.00000,1.00000,1.00000,0.00000
0.05,energy_guided_diffusion,4,8,0.00000,0.00000,1.00000,1.00000,1.00000,0.00000
0.05,energy_guided_diffusion,5,8,0.00000,0.00000,1.00000,1.00000,1.00000,0.00000
0.05,energy_guided_diffusion,6,8,0.00000,0.00000,1.00000,1.00000,1.00000,0.00000
0.05,energy_guided_diffusion,7,8,0.00000,0.00000,1.00000,1.00000,1.00000,0.00000
0.05,strong_guided_diffusion,0,8,0.12500,0.00000,0.00000,0.87500,0.88269,0.00000
0.05,strong_guided_diffusion,1,8,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000
